Id,Wohngebiet,Nachbarschaft,Bedingung1,Bedingung2,Wohnungsklasse,Gebauedetyp,Wohnungsstil,Baujahr,Umbaujahr,Hausqualitaet,Hauszustand,Versorgung,Grundstuecksgroesse,Grundstuecksform,Gelaendekontur,Gelaendeneigung,Grundstueckanordnung,Strassenlaenge,Strassentyp,Fundament,Mauerwerktyp,Mauerwerkflaeche,Verkleidung1,Verkleidung2,Dachtyp,Dachmeterial,Aussenmaterialqualitaet,Aussenmaterialzustand,Kellerhoehe,Kellerzustand,Kellerbelichtung,Kellerbereich1,Kellerbereichgroesse1,Kellerbereich2,Kellerbereichgroesse2,KellerbereichgroesseNAu,KellerbereichgroesseGes,KellerVollbadezimmer,KellerHalbbadezimmer,OberirdischeWohnflaeche,1Stockflaeche,2Stockflaeche,GeringequalitaetFlaeche,OberirdischeRaueme,Funktionalitaet,OberirdischeVollbadezimmer,OberirdischeHalbbadezimmer,Schlafzimmer,Kuechen,KuechenQualitaet,Kamine,Kaminqualitaet,Heizung,Heizungsqualitaet,Klimalanlage,Elektrik,Holzdeckflaeche,OffeneVerandaflaeche,GeschlosseneVerandaflaeche,3JahreszeitenVerandaflaeche,AbgeschirmteVerandaflaeche,Poolflaeche,Poolqualitaet,Zaunqualitaet,Garagentyp,Garagenbaujahr,Garageninnenausbau,Garagenautos,Garagenflaeche,Garagenqualitaet,Garagenzustand,EinfahrtGepflastert,Sondermerkmal,SondermerkmalWert,Verkaufsmonat,Verkaufsjahr,Verkaufstyp,Verkaufsbedingung,Verkaufspreis
11,WN,Nied,Norm,Norm,20,1Fam,1Sto,2017,2018,8,5,EGWA,1033.02,Reg,Ebn,San,Inn,29.4,Pfla,BetonGeg,Stein,18.0,Vinyl,Vinyl,Giebel,VerbSch,Gu,Du,Ag,Ty,Ke,GWR,109.62,NAu,0.0,43.74,153.36,1.0,0.0,153.36,153.36,0.0,0.0,7,Typ,2,0,3,1,Gu,1,Gu,GasWO,Ag,J,SLSRo,0.0,4.5,0.0,0.0,0.0,0.0,KeinPool,KeinZaun,Verbund,2018.0,GAu,3.0,69.48,Du,Du,J,Keine,0.0,5,2020,GarK,Normal,260100.0
12,WN,Sindlin,Norm,Norm,120,StHAb,1Sto,2015,2015,9,5,EGWA,733.23,Reg,Hng,San,Inn,18.0,Pfla,BetonGeg,ZiegGla,20.7,Metall,Metall,Walm,VerbSch,Gu,Du,Ag,Ty,Gu,GWR,107.19,NAu,0.0,47.07,154.26,1.0,0.0,154.26,154.26,0.0,0.0,7,Typ,2,0,2,1,Gu,1,Gu,GasWO,Ag,J,SLSRo,14.04,4.95,0.0,0.0,0.0,0.0,KeinPool,KeinZaun,Verbund,2015.0,Aus,2.0,46.53,Du,Du,J,Keine,0.0,8,2016,GarK,Normal,270300.0
13,WN,Höchst,Norm,Norm,20,1Fam,1Sto,1970,1988,5,5,EGWA,1110.78,UR1,Ebn,San,Inn,20.684476534296028,Pfla,BetonSte,Kein,0.0,Holz,Holz,Walm,VerbSch,Du,Du,Ty,Ty,Ke,NAu,0.0,NAu,0.0,88.02,88.02,0.0,0.0,127.98,127.98,0.0,0.0,6,Ger1,1,0,3,1,Du,1,Du,GasWO,Du,J,SLSRo,0.0,0.0,3.24,0.0,0.0,0.0,KeinPool,GuHol,Verbund,1970.0,GAu,1.0,25.74,Du,Du,J,Schu,510.0,8,2017,GarK,Normal,118915.0
14,WN,Hochsch,Norm,Norm,60,1Fam,2Sto,2015,2015,7,5,EGWA,756.0,Reg,Ebn,San,Inn,21.0,Pfla,BetonGeg,Kein,0.0,Vinyl,Vinyl,Giebel,VerbSch,Gu,Du,Gu,Ty,Du,NAu,0.0,NAu,0.0,70.56,70.56,0.0,0.0,144.99,70.56,74.43,0.0,6,Typ,2,1,3,1,Gu,0,KeineKamine,GasWO,Ag,J,SLSRo,12.96,3.24,0.0,0.0,0.0,0.0,KeinPool,KeinZaun,Verbund,2015.0,GAu,2.0,51.48,Du,Du,J,Keine,0.0,3,2016,GarK,Normal,166430.0
15,WN,Gallus,Norm,Norm,120,StHAb,1Sto,1994,1994,5,6,EGWA,348.21,Reg,Ebn,Mit,Inn,11.7,Pfla,BetonSte,ZiegGla,13.41,Holz,Holz,Giebel,VerbSch,Gu,Ag,Ty,Ty,Ke,SQ,25.47,GWR,67.95,0.0,93.42,0.0,0.0,93.42,93.42,0.0,0.0,5,Typ,2,0,2,1,Du,0,KeineKamine,GasWO,Gu,J,SLSRo,0.0,9.45,0.0,0.0,0.0,0.0,KeinPool,KeinZaun,Verbund,1994.0,GAu,1.0,23.76,Du,Du,J,Keine,0.0,7,2017,GarK,Normal,110500.0
16,WN,Westend,Norm,Norm,60,1Fam,2Sto,2003,2003,7,5,EGWA,1010.52,UR2,Ebn,San,SG,17.7,Pfla,BetonGeg,Kein,0.0,Vinyl,Vinyl,Giebel,VerbSch,Gu,Du,Gu,Ty,Ke,UWR,4.5,GWR,47.79,44.91,97.2,0.0,1.0,188.73,97.2,91.53,0.0,9,Typ,2,1,3,1,Gu,1,Du,GasWO,Ag,J,SLSRo,17.64,16.83,0.0,0.0,0.0,0.0,KeinPool,KeinZaun,Verbund,2003.0,NAu,3.0,61.02,Du,Du,J,Keine,0.0,12,2018,GarK,Normal,193800.0
17,WN,Gallus,Norm,Norm,20,1Fam,1Sto,1963,1963,6,5,EGWA,940.68,UR1,Ebn,San,Inn,25.5,Pfla,BetonSte,Stein,19.44,Holz,Holz,Walm,VerbSch,Du,Du,Ty,Ty,Mn,DAR,45.0,NAu,0.0,53.46,98.46,0.0,0.0,98.46,98.46,0.0,0.0,5,Typ,1,0,3,1,Du,2,Gu,GasWO,Ag,J,SLSRo,0.0,0.0,0.0,0.0,25.83,0.0,KeinPool,KeinZaun,Verbund,1963.0,GAu,2.0,44.55,Du,Du,J,Keine,0.0,6,2018,GarK,Normal,131750.0
18,WN,Gallus,Norm,Norm,20,1Fam,1Sto,2012,2012,6,5,EGWA,724.5,Reg,Ebn,San,Inn,22.5,Pfla,BetonGeg,Unbekannt,-1.0,Vinyl,Vinyl,Giebel,VerbSch,Du,Du,Gu,Ty,Du,GWR,42.75,DWR,26.73,12.78,82.26,1.0,0.0,82.26,82.26,0.0,0.0,4,Typ,1,0,2,1,Gu,0,KeineKamine,GasWO,Ag,J,SLSRo,2.88,0.0,0.0,0.0,0.0,0.0,KeinPool,KeinZaun,KeineGarage,0.0,KeineGarage,0.0,0.0,KeineGarage,KeineGarage,N,Keine,0.0,4,2016,GarK,Normal,99662.5
19,WN,Gallus,Norm,Norm,20,1Fam,1Sto,1973,1973,4,6,EGWA,747.72,Reg,Ebn,San,Inn,20.1,Pfla,BetonSte,Stein,1.8,Vinyl,Vinyl,Giebel,VerbSch,Du,Gu,Ty,Ty,Ke,UWR,11.88,SQ,75.69,10.35,97.92,0.0,0.0,97.92,97.92,0.0,0.0,4,Typ,1,0,2,1,Du,0,KeineKamine,GasWO,Du,J,SLSRo,0.0,0.0,0.0,0.0,0.0,0.0,KeinPool,KeinZaun,Abgetr,2012.0,NAu,2.0,46.8,Du,Du,P,Keine,0.0,6,2017,GeBU,Normal,93500.0
20,WN,Sachsen,Norm,Norm,80,1Fam,GSto,1968,1997,5,6,EGWA,1244.25,Reg,Ebn,San,Inn,25.5,Pfla,BetonSte,Kein,0.0,Metall,Metall,Giebel,VerbSch,Du,Gu,Ty,Ty,Ke,NAu,0.0,NAu,0.0,47.97,47.97,0.0,1.0,144.09,91.89,52.2,0.0,6,Ger2,1,0,3,1,Du,0,KeineKamine,GasWO,Du,J,SLSRo,25.2,3.06,0.0,0.0,0.0,0.0,KeinPool,KeinZaun,Eingeb,1968.0,GAu,1.0,27.0,Du,Du,J,Keine,0.0,12,2018,GarK,Normal,119000.0
21,WN,Hochsch,Norm,Norm,20,1Fam,1Sto,1987,1987,5,4,EGWA,1467.0,UR1,Ebn,San,SG,11.7,Pfla,BetonSte,Kein,0.0,Hartfas,Hartfas,Giebel,VerbSch,Du,Du,Gu,Ty,Du,DAR,5.4,UWR,37.53,35.91,78.84,1.0,0.0,81.63,81.63,0.0,0.0,5,Typ,1,0,3,1,Du,0,KeineKamine,GasWO,Du,J,SLSRo,0.0,0.0,0.0,0.0,0.0,0.0,KeinPool,MnPrv,Verbund,1987.0,GAu,1.0,27.72,Du,Du,J,Keine,0.0,1,2017,GarK,Normal,110500.0
22,WN,Hausen,Norm,Norm,85,1Fam,GFoy,1989,1989,6,6,EGWA,1093.5,UR1,Erh,San,SG,20.684476534296028,Pfla,BetonSte,Kein,0.0,Hartfas,HolzSch,Giebel,VerbSch,Du,Du,Gu,Ty,Du,GWR,90.09,NAu,0.0,0.0,90.09,1.0,0.0,116.91,116.91,0.0,0.0,5,Typ,2,0,2,1,Gu,1,Sc,GasWO,Du,J,SLSRo,7.56,0.0,19.98,0.0,0.0,0.0,KeinPool,MnPrv,Eingeb,1989.0,GAu,2.0,43.74,Du,Du,J,Keine,0.0,1,2017,GarK,Normal,155975.0
23,WN,Höchst,Norm,Norm,90,DopH,1Sto,1972,2011,5,6,EGWA,1193.4,UR1,Ebn,San,Inn,29.4,Pfla,BetonSte,ZiegGla,12.96,Hartfas,Hartfas,Walm,VerbSch,Du,Du,Ty,Ty,Ke,UWR,135.0,NAu,0.0,20.52,155.52,2.0,0.0,155.52,155.52,0.0,0.0,10,Typ,2,0,6,2,Du,0,KeineKamine,GasWO,Du,J,SLSRo,0.0,0.0,0.0,0.0,0.0,0.0,KeinPool,KeinZaun,KeineGarage,0.0,KeineGarage,0.0,0.0,KeineGarage,KeineGarage,J,Keine,0.0,1,2020,And,Abnormal,72165.0
24,WN,Höchst,Norm,Norm,60,1Fam,2Sto,1976,1976,7,6,EGWA,1278.0,Reg,Ebn,San,Eck,26.4,Pfla,BetonSte,ZiegGla,27.81,Metall,Metall,Giebel,VerbSch,Du,Du,Ty,Ty,Ke,DAR,40.05,NAu,0.0,43.11,83.16,0.0,0.0,194.13,109.44,84.69,0.0,8,Typ,2,1,4,1,Gu,2,Gu,GasWO,Ag,J,SLSRo,9.45,5.94,0.0,0.0,0.0,0.0,KeinPool,GuPrv,Verbund,1976.0,Aus,2.0,43.83,Du,Du,J,Keine,0.0,5,2016,GarK,Normal,192100.0
25,WN,Höchst,Norm,Norm,20,1Fam,1Sto,1977,1977,5,5,EGWA,864.0,Reg,Ebn,San,Inn,24.0,Pfla,BetonSte,Kein,0.0,Hartfas,Hartfas,Walm,VerbSch,Du,Du,Ty,Ty,Ke,NAu,0.0,NAu,0.0,141.12,141.12,0.0,0.0,141.12,141.12,0.0,0.0,7,Typ,1,1,3,1,Du,0,KeineKamine,GasWO,Du,J,SLSRo,14.4,3.6,0.0,0.0,0.0,0.0,KeinPool,KeinZaun,Verbund,1977.0,NAu,2.0,39.6,Du,Du,J,Keine,0.0,3,2019,GeBU,Normal,121550.0
26,WN,Hausen,Norm,Norm,60,1Fam,2Sto,2010,2011,8,5,EGWA,911.25,Reg,Ebn,San,Inn,22.5,Pfla,BetonGeg,Kein,0.0,Zement,Zement,Giebel,VerbSch,Gu,Du,Gu,Ty,Ke,DWR,40.05,UWR,22.5,37.08,99.63,0.0,0.0,184.68,93.6,91.08,0.0,7,Typ,2,1,3,1,Gu,1,Du,GasWO,Ag,J,SLSRo,18.9,8.19,0.0,0.0,0.0,0.0,KeinPool,KeinZaun,Eingeb,2010.0,Aus,3.0,57.78,Du,Du,J,Keine,0.0,5,2019,GarK,Normal,213350.0
27,WN,Ginnhei,EbNA,Norm,60,1Fam,2Sto,2014,2015,7,5,EGWA,1384.56,UR1,Ebn,San,Inn,18.0,Pfla,BetonGeg,Kein,0.0,Vinyl,Vinyl,Giebel,VerbSch,Gu,Du,Gu,Ty,Du,GWR,65.16,NAu,0.0,5.76,70.92,1.0,0.0,134.1,70.92,63.18,0.0,8,Typ,2,1,3,1,Gu,1,Gu,GasWO,Ag,J,SLSRo,9.0,6.75,0.0,0.0,0.0,0.0,KeinPool,KeinZaun,Verbund,2014.0,Aus,2.0,34.92,Du,Du,J,Keine,0.0,2,2018,GarK,Normal,156400.0
28,WN,Gallus,Norm,Norm,50,1Fam,1.5V,1955,1960,4,3,EGWA,756.45,Reg,Ebn,San,Inn,15.0,Pfla,Platten,Kein,0.0,HolzSch,HolzSch,Giebel,VerbSch,Du,Du,KeinKeller,KeinKeller,KeinKeller,KeinKeller,0.0,KeinKeller,0.0,0.0,0.0,0.0,0.0,137.61,97.92,39.69,0.0,9,Mit,2,0,4,1,Du,0,KeineKamine,WandOf,Du,N,SichAr,8.28,0.0,16.65,0.0,0.0,0.0,KeinPool,KeinZaun,Abgetr,1955.0,NAu,1.0,21.6,Du,Du,N,Keine,0.0,4,2019,GarK,Normal,83300.0
29,WN,Oberrad,Norm,Norm,120,StHAb,1Sto,2015,2016,7,5,EGWA,286.38,Reg,Ebn,San,Inn,12.9,Pfla,BetonGeg,ZiegGla,0.99,Vinyl,Vinyl,Giebel,VerbSch,Gu,Du,Gu,Ty,Ke,GWR,1.44,NAu,0.0,101.61,103.05,0.0,0.0,103.05,103.05,0.0,0.0,5,Typ,2,0,2,1,Gu,1,Gu,GasWO,Ag,J,SLSRo,9.0,1.44,0.0,0.0,0.0,0.0,KeinPool,KeinZaun,Verbund,2015.0,Aus,2.0,35.73,Du,Du,J,Keine,0.0,9,2019,GarK,Normal,136170.0
30,WN,Nied,Norm,Norm,120,StHAb,1Sto,2015,2015,9,5,EGWA,689.22,Reg,Ebn,San,Inn,18.3,Pfla,BetonGeg,ZiegGla,37.08,Metall,Metall,Walm,VerbSch,Ag,Du,Ag,Ty,Ke,GWR,41.04,NAu,0.0,116.64,157.68,1.0,0.0,157.68,157.68,0.0,0.0,6,Typ,2,0,2,1,Ag,1,Gu,GasWO,Ag,J,SLSRo,17.64,7.38,0.0,0.0,0.0,0.0,KeinPool,KeinZaun,Verbund,2015.0,GAu,2.0,51.84,Du,Du,J,Keine,0.0,2,2020,GarK,Normal,271915.0
31,WN,Sindlin,Norm,Norm,120,StHAb,1Sto,2011,2011,8,5,EGWA,442.8,Reg,Ebn,San,Inn,12.3,Pfla,BetonGeg,Kein,0.0,Zement,Zement,Giebel,VerbSch,Gu,Du,Gu,Ty,Mn,GWR,55.44,NAu,0.0,64.98,120.42,1.0,0.0,120.42,120.42,0.0,0.0,6,Typ,2,0,2,1,Gu,0,KeineKamine,GasWO,Ag,J,SLSRo,0.0,0.0,15.3,0.0,0.0,0.0,KeinPool,KeinZaun,Verbund,2011.0,Aus,2.0,52.38,Du,Du,J,Keine,0.0,4,2020,GarK,Normal,181475.0
32,WM,Eisenba,Norm,Norm,75,1Fam,2.5U,1930,2006,5,7,EGWA,648.0,Reg,Ebn,San,Inn,18.0,Pfla,ZiegFli,Kein,0.0,Metall,Metall,Giebel,VerbSch,Du,Du,Ty,Ar,Ke,NAu,0.0,NAu,0.0,47.7,47.7,0.0,0.0,99.99,52.29,47.7,0.0,6,Typ,1,0,3,1,Ar,0,KeineKamine,GasWO,Du,N,SLSRo,0.0,0.0,12.96,0.0,0.0,0.0,KeinPool,KeinZaun,Abgetr,1945.0,NAu,1.0,25.92,Du,Du,N,Keine,0.0,3,2017,GarK,Normal,85850.0
33,D,Schwanh,Norm,Norm,20,1Fam,1Sto,2017,2018,8,5,EGWA,777.6,Reg,Ebn,San,Inn,21.6,Pfla,BetonGeg,Kein,0.0,Vinyl,Vinyl,Giebel,VerbSch,Gu,Du,Gu,Ty,Ke,GWR,2.16,NAu,0.0,120.51,122.67,0.0,0.0,123.48,123.48,0.0,0.0,6,Typ,2,0,3,1,Gu,0,KeineKamine,GasWO,Ag,J,SLSRo,17.28,10.17,0.0,0.0,0.0,0.0,KeinPool,KeinZaun,Verbund,2018.0,GAu,2.0,52.92,Du,Du,J,Keine,0.0,7,2018,Neu,Unfertig,180795.0
34,WN,Sachsen,Zubr,Norm,85,1Fam,GFoy,1973,1973,5,6,EGWA,1011.15,Reg,Ebn,San,Eck,20.684476534296028,Pfla,BetonSte,Kein,0.0,Hartfas,Holz,Giebel,VerbSch,Du,Du,Gu,Ty,Du,DWR,70.56,NAu,0.0,17.73,88.29,1.0,0.0,96.75,96.75,0.0,0.0,6,Typ,1,0,3,1,Gu,0,KeineKamine,GasWO,Du,J,SLSRo,5.76,0.0,0.0,0.0,5.76,0.0,KeinPool,MnPrv,Abgetr,2006.0,NAu,2.0,39.6,Du,Du,J,Keine,0.0,5,2018,GarK,Abnormal,125800.0
35,WN,Hausen,Norm,Norm,80,1Fam,GSto,1987,1987,6,6,EGWA,1436.13,UR1,Snk,Mit,Eck,20.684476534296028,Pfla,BetonGeg,Kein,0.0,Hartfas,Sperrho,Giebel,VerbSch,Du,Du,Gu,Ty,Gu,GWR,103.32,NAu,0.0,8.64,111.96,2.0,0.0,122.04,122.04,0.0,0.0,6,Typ,2,0,3,1,Du,1,Du,GasWO,Du,J,SLSRo,128.16,0.0,0.0,0.0,0.0,0.0,KeinPool,MnPrv,Verbund,1987.0,Aus,2.0,47.52,Du,Du,J,Keine,0.0,9,2017,GarK,Normal,159800.0
36,WN,Eckenhe,Norm,Norm,30,1Fam,1Sto,1936,1960,5,5,EGWA,650.07,Reg,Ebn,San,Inn,16.2,Pfla,BetonGeg,Kein,0.0,Stuck,Sperrho,Walm,VerbSch,Du,Du,Ty,Ty,Mn,UWR,28.71,NAu,0.0,87.39,116.1,0.0,0.0,127.98,127.98,0.0,0.0,6,Typ,1,0,3,1,Du,0,KeineKamine,GasWO,Du,J,SLSRo,0.0,0.0,5.76,0.0,0.0,0.0,KeinPool,MnPrv,Abgetr,1983.0,NAu,1.0,31.68,Du,Du,J,Keine,0.0,4,2017,GarK,Normal,116025.0
37,WN,Höchst,Norm,Norm,80,1Fam,GSto,1965,1982,6,6,EGWA,864.0,Reg,Ebn,San,Inn,24.0,Pfla,BetonSte,ZiegGla,14.76,AsbeSch,AsbeSch,Giebel,VerbSch,Du,Du,Ty,Ty,Du,UWR,60.66,SQ,11.88,31.5,104.04,1.0,0.0,136.8,136.8,0.0,0.0,7,Typ,1,0,3,1,Du,2,Gu,GasWO,Ag,J,SLSRo,0.0,0.0,17.01,0.0,0.0,0.0,KeinPool,KeinZaun,Tiefgar,1965.0,GAu,1.0,32.76,Du,Du,J,Keine,0.0,3,2020,GarK,Normal,130050.0
38,WN,Sachsen,Norm,Norm,20,1Fam,1Sto,1976,1976,5,4,EGWA,1050.93,UR1,Ebn,San,Inn,20.684476534296028,Pfla,BetonSte,ZiegGla,39.78,Hartfas,Hartfas,Giebel,VerbSch,Du,Du,Ty,Ty,Du,DAR,22.41,UWR,68.49,2.7,93.6,1.0,0.0,93.6,93.6,0.0,0.0,6,Typ,1,0,3,1,Du,0,KeineKamine,GasWO,Du,J,SLSRo,0.0,8.1,0.0,0.0,0.0,0.0,KeinPool,MnPrv,Verbund,1976.0,GAu,1.0,23.76,Du,Du,J,Keine,0.0,2,2017,GarK,Normal,104550.0
39,WN,Kalbach,Norm,Norm,60,1Fam,2Sto,2004,2005,8,5,EGWA,921.24,UR1,Ebn,San,Inn,20.684476534296028,Pfla,BetonGeg,ZiegGla,45.09,Vinyl,Vinyl,Giebel,VerbSch,Gu,Du,Gu,Ty,Gu,GWR,34.2,UWR,15.12,66.78,116.1,1.0,0.0,224.46,117.45,107.01,0.0,9,Typ,2,1,4,1,Gu,1,Du,GasWO,Ag,J,SLSRo,18.0,8.55,0.0,0.0,0.0,0.0,KeinPool,GuPrv,Verbund,2004.0,Aus,3.0,72.27,Du,Du,J,Keine,0.0,6,2016,GarK,Normal,272850.0
